ABE,ATL,792	
ABE,BHM,339	
ABE,CLE,481	
ABE,CLT,503	
ABE,CVG,424	
ABE,DTW,87	
ABE,JFK,82	
ABE,LGA,654	
ABE,ORD,55	
ABE,PHL,158	
ABI,DFW,277	
ABQ,AMA,1269	
ABQ,ATL,619	
ABQ,AUS,1670	
ABQ,BWI,1411	
ABQ,CLE,1240	
ABQ,CVG,580	
ABQ,DAL,349	
ABQ,DEN,569	
ABQ,DFW,223	
ABQ,ELP,1805	
ABQ,EWR,759	
ABQ,HOU,1628	
ABQ,IAD,744	
ABQ,IAH,487	
ABQ,LAS,677	
ABQ,LAX,289	
ABQ,LBB,332	
ABQ,MAF,718	
ABQ,MCI,1552	
ABQ,MCO,1121	
ABQ,MDW,981	
ABQ,MSP,889	
ABQ,OAK,510	
ABQ,OKC,631	
ABQ,ONT,1118	
ABQ,ORD,1111	
ABQ,PDX,328	
ABQ,PHX,628	
ABQ,SAN,609	
ABQ,SAT,1180	
ABQ,SEA,896	
ABQ,SFO,493	
ABQ,SLC,866	
ABQ,SMF,934	
ABQ,STL,1497	
ABQ,TPA,608	
ABQ,TUL,321	
ABQ,TUS,146	
ABY,ATL,218	
ACK,EWR,199	
ACK,JFK,89	
ACT,DFW,56	
ACV,CEC,327	
ACV,MRY,250	
ACV,SFO,276	
ACV,SJC,635	
ACV,SLC,207	
ACV,SMF,678	
ACY,ATL,92	
ACY,JFK,99	
ACY,LGA,1192	
ADK,ANC,252	
ADQ,ANC,500	
AEX,ATL,285	
AEX,DFW,190	
AEX,IAH,143	
AGS,ATL,140	
AGS,CLT,678	
AGS,LGA,289	
AKN,ANC,71	
AKN,DLG,852	
ALB,ATL,145	
ALB,BOS,288	
ALB,BWI,424	
ALB,CLE,646	
ALB,CLT,623	
ALB,CVG,318	
ALB,DCA,488	
ALB,DTW,143	
ALB,EWR,1204	
ALB,FLL,145	
ALB,JFK,2237	
ALB,LAS,1073	
ALB,MCO,717	
ALB,MDW,979	
ALB,MSP,723	
ALB,ORD,212	
ALB,PHL,645	
ALB,SBN,1130	
ALB,TPA,166	
ALO,MSP,277	
AMA,ABQ,324	
AMA,DAL,358	
AMA,DEN,313	
AMA,DFW,519	
AMA,IAH,758	
AMA,LAS,335	
AMA,TUL,1192	
ANC,ADK,252	
ANC,ADQ,289	
ANC,AKN,3417	
ANC,ATL,399	
ANC,BET,160	
ANC,CDV,3110	
ANC,CVG,2406	
ANC,DEN,3043	
ANC,DFW,329	
ANC,DLG,2986	
ANC,DTW,261	
ANC,FAI,2777	
ANC,HNL,3266	
ANC,IAH,571	
ANC,JNU,2304	
ANC,LAS,2345	
ANC,LAX,2518	
ANC,MSP,2797	
ANC,OGG,539	
ANC,OME,2846	
ANC,ORD,549	
ANC,OTZ,1542	
ANC,PDX,2551	
ANC,PHX,626	
ANC,SCC,1449	
ANC,SEA,2018	
ANC,SFO,2125	
ANC,SLC,1304	
ASE,ATL,125	
ASE,DEN,89	
ASE,GJT,737	
ASE,LAX,951	
ASE,MSN,1013	
ASE,ORD,491	
ASE,PHX,954	
ASE,RFD,848	
ASE,SFO,291	
ASE,SLC,692	
ATL,ABE,1269	
ATL,ABQ,146	
ATL,ABY,678	
ATL,ACY,500	
ATL,AEX,143	
ATL,AGS,852	
ATL,ALB,3417	
ATL,ANC,1304	
ATL,ASE,765	
ATL,ATW,813	
ATL,AUS,164	
ATL,AVL,714	
ATL,AVP,859	
ATL,BDL,1134	
ATL,BGR,134	
ATL,BHM,533	
ATL,BMI,214	
ATL,BNA,1838	
ATL,BOI,946	
ATL,BOS,238	
ATL,BQK,449	
ATL,BTR,960	
ATL,BTV,712	
ATL,BUF,576	
ATL,BWI,1641	
ATL,BZN,191	
ATL,CAE,528	
ATL,CAK,106	
ATL,CHA,457	
ATL,CHO,259	
ATL,CHS,694	
ATL,CID,554	
ATL,CLE,227	
ATL,CLT,446	
ATL,CMH,1185	
ATL,COS,876	
ATL,CRP,363	
ATL,CRW,83	
ATL,CSG,373	
ATL,CVG,366	
ATL,DAB,432	
ATL,DAY,547	
ATL,DCA,1199	
ATL,DEN,732	
ATL,DFW,171	
ATL,DHN,743	
ATL,DSM,594	
ATL,DTW,1312	
ATL,EGE,1282	
ATL,ELP,350	
ATL,EVV,433	
ATL,EWN,745	
ATL,EWR,646	
ATL,EYW,331	
ATL,FAY,1841	
ATL,FCA,581	
ATL,FLL,273	
ATL,FLO,644	
ATL,FNT,954	
ATL,FSD,579	
ATL,FSM,508	
ATL,FWA,300	
ATL,GNV,352	
ATL,GPT,774	
ATL,GRB,803	
ATL,GRK,640	
ATL,GRR,306	
ATL,GSO,153	
