ABE,7.74105988798,7.74493752693
ABI,5.03749043611,6.88714613619
ABQ,4.46167820494,7.41437128689
ABY,11.8300835655,10.9749303621
ACK,28.6038186158,29.8544152745
ACT,3.0854611777,5.20739968734
ACV,14.8621462595,15.1389745027
ACY,5.41071428571,18.7142857143
ADK,4.53260869565,13.652173913
ADQ,3.69230769231,5.73906485671
AEX,10.6746666667,8.77511111111
AGS,11.8650827323,11.8162918965
AKN,22.0446428571,21.8839285714
ALB,7.24941158606,9.00546655531
ALO,6.38059701493,6.36194029851
AMA,5.7845484222,8.05522306855
ANC,3.42759202616,6.82744436241
ASE,12.2591900312,12.7615784008
ATL,10.7486246048,11.5003985764
ATW,9.16588616715,9.17525216138
AUS,6.03703172391,7.3714238872
AVL,7.9463619403,10.0030317164
AVP,11.4155331286,12.5054848618
AZO,8.0185852982,8.62357836338
BDL,5.98315270251,7.55057662915
BET,5.72095332671,7.85898709037
BFL,0.697998650776,1.67438722734
BGM,4.67381974249,5.91559370529
BGR,12.7233429395,12.3933717579
BHM,8.15661043209,9.08168359442
BIL,0.0567901234568,0.710662177329
BIS,3.20240213523,3.30338078292
BJI,0,0
BLI,0,0
BMI,11.4741568112,11.7849321069
BNA,7.61699570512,10.069000866
BOI,4.37197180596,6.86086595984
BOS,9.2095236423,9.54068266816
BPT,0,0.350194552529
BQK,6.3289183223,6.24944812362
BQN,2.26542800265,5.27670869277
BRO,5.24307036247,4.69936034115
BRW,12.490832158,15.8547249647
BTM,0,0
BTR,12.7126904734,11.4499243922
BTV,13.1198529412,11.8132352941
BUF,8.9668879344,10.3555642327
BUR,3.3167040906,6.78388492955
BWI,7.06167246709,10.1045146112
BZN,4.58962673611,4.29275173611
CAE,11.3132970835,12.7322787939
CAK,10.4295839049,10.0085733882
CDC,0.730182926829,0
CDV,7.65439093484,8.28611898017
CEC,24.6709486166,24.2223320158
CHA,7.41333333333,7.36384180791
CHO,9.1699751861,7.86600496278
CHS,9.83164492384,10.4320384812
CIC,16.75,17.1830882353
CID,9.96683530073,10.3151208544
CLD,1.85052910053,1.87962962963
CLE,8.20254287404,9.04439914096
CLL,5.66061980348,6.08994708995
CLT,7.8781729169,9.42013378359
CMH,7.90573635025,9.61555335196
CMI,11.8860518293,10.6349085366
CMX,9.32258064516,10.3584229391
COD,0,0
COS,6.63029541169,6.42011313639
CPR,0,1.18052434457
CRP,4.65052713784,6.04470909801
CRW,7.1891973446,8.91188895594
CSG,10.3206371191,9.6987534626
CVG,8.9240978847,9.04147656574
CWA,11.297107438,11.1954545455
DAB,12.1448922863,11.2936066713
DAL,8.79473883422,10.8999621499
DAY,6.46493793462,7.03665431858
DBQ,9.78531524342,7.77733439745
DCA,5.66548437948,6.27812410433
DEN,8.01789320335,9.90010537762
DFW,10.4425731781,11.8338430136
DHN,13.519622093,12.2572674419
DLG,16.1711711712,16.4954954955
DLH,0.891315388522,2.50228542407
DRO,0.51187482537,2.18329142218
DSM,8.67246865057,9.00773597854
DTW,9.75410681492,9.19135367664
EGE,16.2909766813,16.126394052
EKO,1.60813428018,0.0303421562298
ELM,0,3.35222052067
ELP,4.06713177538,6.59720934771
ERI,2.22587883321,4.32460732984
EUG,4.1403539823,5.47592920354
EVV,5.13236611141,6.58749776106
EWN,11.88,8.17161290323
EWR,17.0833913115,18.2574904055
EYW,16.8706720978,15.3431771894
FAI,2.84255946117,3.72490002105
FAR,7.59260115607,7.2238150289
FAT,4.45675944334,5.76221243965
FAY,14.5434977578,12.4206278027
FCA,1.09140767824,1.38427787934
FLG,5.27133973997,2.85924250989
FLL,9.69721385542,11.0798042169
FLO,9.06489184692,7.82861896839
FNT,5.92609051573,5.46684598293
FSD,9.82798527091,9.92267227775
FSM,4.00915815428,5.39767523776
FWA,11.0315663064,11.8766512266
GCC,13.2631578947,8.2738791423
GEG,3.57604587515,5.89059038186
GFK,2.56728624535,3.39330855019
GGG,5.11940298507,6.75053304904
GJT,2.67417061611,4.80706951027
GNV,5.99503722084,9.758808933
GPT,7.22941176471,7.10576230492
GRB,10.5106551952,9.99404367968
GRK,7.3427935448,8.73372287145
GRR,7.97721911856,7.81477343265
GSO,8.13276641385,9.20654255727
GSP,7.117487058,8.49241028341
GST,9.18072289157,9.79518072289
GTF,0,0
GTR,12.4069767442,10.2748414376
GUC,14.2242888403,13.5437636761
HDN,12.2900696864,9.58318815331
HHH,12.2338811631,14.9747155499
HLN,0,1.09813084112
HNL,3.76078614209,2.79243625148
HOU,8.82394690755,12.2196700157
HPN,9.99409658376,9.84176908933
HRL,7.21165279429,9.48917954816
HSV,8.23878464616,7.27440708639
HTS,0,0
IAD,12.7861587474,13.6084999661
IAH,8.84939609599,10.5532157682
ICT,8.65363911216,8.71985841752
IDA,0.568226763349,2.44957152274
ILM,11.6524609844,9.36284513806
IND,6.36194181245,7.52669514786
INL,0,0
IPL,0,0
ISP,3.96727813585,8.66474962816
ITH,17.8583333333,8.76666666667
ITO,2.54175,0
IYK,0,0
JAC,10.5405257393,9.53915662651
JAN,6.32142277083,7.71690758486
JAX,7.11437470799,8.9092353216
JFK,12.0338829986,13.2430076154
JNU,11.3744142455,13.1155107779
KOA,3.92331458449,1.78135150123
KTN,7.08322440087,8.49586056645
LAN,11.6688422247,10.1447219069
LAS,5.32876583763,10.425140779
LAW,2.2341991342,4.54978354978
LAX,5.26227778458,8.65730072447
LBB,6.64862870496,8.60140204157
LCH,6.95287958115,7.09005235602
LEX,6.89914291409,8.99701016544
LFT,8.23852040816,7.45301870748
LGA,10.1199872693,11.1714406959
